Index,Article_Sentiment,Num_Sentences
3155,-0.8865559895833334,3
3162,0.18863932291666666,6
3164,-0.3123372395833333,3
3165,-0.8958333333333334,3
3169,-0.5694986979166666,3
3170,-0.08328683035714286,7
3171,-0.3024088541666667,3
3172,-0.97021484375,2
3174,-0.8649088541666666,3
3175,-0.8668619791666666,3
3180,-0.9620768229166666,3
3181,-0.47998046875,2
3183,-0.203125,3
3184,-0.458740234375,2
3185,-0.8015950520833334,3
3186,-0.8434244791666666,3
3187,0.24983723958333334,3
3188,-0.20390625,5
3193,-0.6424560546875,4
3194,0.0,7
3201,0.2349853515625,4
3206,0.06510416666666667,6
3207,0.6253255208333334,3
3208,0.938720703125,2
3212,0.2727864583333333,3
3215,-0.8375651041666666,3
3219,0.0,3
3222,0.56298828125,5
3226,0.58837890625,3
3240,0.220703125,3
3246,-0.849365234375,2
3247,-0.7980143229166666,3
3248,-0.5994466145833334,3
3250,-0.3312174479166667,3
3251,-0.07779947916666667,3
3256,0.36513671875,5
3260,-0.660400390625,4
3265,-0.19075520833333334,3
3266,0.18880208333333334,3
3267,0.0,3
3273,-0.30499267578125,4
3288,0.8543294270833334,3
3293,-0.010416666666666666,3
3300,0.187255859375,4
3301,0.7976888020833334,3
3302,0.80810546875,3
3304,-0.84375,2
3305,0.1173095703125,4
3306,-0.957275390625,2
3307,0.2594401041666667,3
3309,0.187255859375,4
3335,-0.51513671875,4
3343,0.147216796875,6
3345,-0.6443684895833334,3
3346,-0.725341796875,4
3351,0.4676106770833333,3
3352,0.0609130859375,4
3384,0.2373046875,4
3389,0.031168619791666668,6
3392,0.545166015625,4
3393,0.4959309895833333,3
3398,0.2041015625,6
3410,-0.6451822916666666,3
3411,-0.4810791015625,4
3413,0.21012369791666666,3
3425,0.48046875,3
3434,-0.0546875,5
3435,0.423095703125,2
3436,0.003173828125,2
3444,0.033365885416666664,3
3447,-0.1748046875,3
3448,-0.01318359375,3
3449,0.15047200520833334,3
3450,0.318359375,3
3451,-0.5074462890625,4
3455,0.030436197916666668,3
3458,0.9254557291666666,3
3460,0.93408203125,3
3461,0.9431966145833334,3
3462,-0.13881138392857142,7
3463,-0.13881138392857142,7
3464,0.94482421875,3
3466,0.0,6
3474,-0.85107421875,4
3475,0.2279052734375,4
3476,0.11653645833333333,6
3477,0.228271484375,4
3489,0.02685546875,5
3490,-0.33251953125,3
3493,0.2770182291666667,3
3494,0.451904296875,3
3495,0.31298828125,3
3498,0.13462611607142858,7
